案件ID,病害小类,病害大类,道路名称,里程km,数据来源,采集日期,星期,审核结论,驳回原因,事件等级,审核时滞天
2026003846,路框差,人行道,布龙路,19.6,两轮车,2026-08-31,周一,审核通过,,轻微,0
2026003847,路框差,人行道,清林路,9.8,作业车,2026-08-29,周六,审核通过,,轻微,0
2026003848,路框差,人行道,清林路,9.8,作业车,2026-08-15,周六,审核通过,,轻微,0
2026003849,路框差,人行道,红棉路,18.2,四轮专车,2026-08-21,周五,审核通过,,轻微,1
2026003850,路框差,人行道,沙荷路,12.4,众源车,2026-08-07,周五,审核通过,,轻微,4
2026003851,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-21,周五,审核通过,,轻微,0
2026003852,路框差,人行道,沙荷路,12.4,作业车,2026-08-16,周日,审核通过,,轻微,0
2026003853,路框差,人行道,龙翔大道,15.8,众源车,2026-08-07,周五,审核通过,,轻微,5
2026003854,路框差,人行道,龙翔大道,15.8,作业车,2026-08-25,周二,审核通过,,轻微,0
2026003855,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-08,周六,驳回,模糊不清,轻微,0
2026003856,路框差,人行道,红棉路,18.2,作业车,2026-08-03,周一,审核通过,,轻微,0
2026003857,路框差,人行道,爱南路,10.4,作业车,2026-09-02,周三,审核通过,,轻微,0
2026003858,路框差,人行道,深惠路,21.5,两轮车,2026-08-14,周五,驳回,框选不规范,轻微,0
2026003859,路框差,人行道,清林路,9.8,两轮车,2026-08-07,周五,审核通过,,轻微,1
2026003860,路框差,人行道,龙岗大道,32.6,作业车,2026-08-26,周三,审核通过,,轻微,0
2026003861,路框差,人行道,深惠路,21.5,作业车,2026-08-18,周二,审核通过,,轻微,0
2026003862,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-20,周四,审核通过,,轻微,0
2026003863,路框差,人行道,黄阁路,11.2,作业车,2026-08-23,周日,审核通过,,严重,0
2026003864,路框差,人行道,沙荷路,12.4,作业车,2026-08-12,周三,审核通过,,轻微,0
2026003865,路框差,人行道,植物园路,7.5,作业车,2026-08-21,周五,审核通过,,轻微,0
2026003866,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-24,周一,审核通过,,轻微,2
2026003867,路框差,人行道,布龙路,19.6,众源车,2026-08-28,周五,审核通过,,轻微,5
2026003868,路框差,人行道,红棉路,18.2,作业车,2026-08-31,周一,审核通过,,轻微,0
2026003869,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-15,周六,审核通过,,轻微,1
2026003870,路框差,人行道,深惠路,21.5,四轮专车,2026-08-19,周三,审核通过,,轻微,1
2026003871,路框差,人行道,龙翔大道,15.8,作业车,2026-08-27,周四,审核通过,,轻微,0
2026003872,路框差,人行道,红棉路,18.2,众源车,2026-08-21,周五,驳回,模糊不清,轻微,10
2026003873,路框差,人行道,龙岗大道,32.6,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026003874,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-09,周日,审核通过,,轻微,1
2026003875,路框差,人行道,鹏达路,6.8,两轮车,2026-09-01,周二,审核通过,,轻微,1
2026003876,路框差,人行道,龙翔大道,15.8,作业车,2026-08-18,周二,审核通过,,轻微,0
2026003877,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-09,周日,审核通过,,轻微,1
2026003878,路框差,人行道,植物园路,7.5,两轮车,2026-08-12,周三,审核通过,,轻微,0
2026003879,路框差,人行道,龙岗大道,32.6,作业车,2026-08-14,周五,审核通过,,轻微,0
2026003880,路框差,人行道,龙翔大道,15.8,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026003881,路框差,人行道,清林路,9.8,众源车,2026-08-28,周五,审核通过,,轻微,10
2026003882,路框差,人行道,新生路,8.2,四轮专车,2026-08-09,周日,审核通过,,轻微,1
2026003883,路框差,人行道,清林路,9.8,两轮车,2026-08-25,周二,审核通过,,轻微,1
2026003884,路框差,人行道,深惠路,21.5,作业车,2026-09-02,周三,驳回,框选不规范,轻微,0
2026003885,路框差,人行道,鹏达路,6.8,作业车,2026-08-05,周三,审核通过,,轻微,0
2026003886,路框差,人行道,龙岗大道,32.6,作业车,2026-08-16,周日,审核通过,,轻微,0
2026003887,路框差,人行道,鹏达路,6.8,四轮专车,2026-08-16,周日,审核通过,,严重,1
2026003888,路框差,人行道,碧新路,9.1,四轮专车,2026-08-18,周二,审核通过,,轻微,1
2026003889,路框差,人行道,植物园路,7.5,众源车,2026-08-07,周五,驳回,超过时效,轻微,6
2026003890,路框差,人行道,红棉路,18.2,作业车,2026-08-19,周三,审核通过,,轻微,0
2026003891,路框差,人行道,龙岗大道,32.6,众源车,2026-08-07,周五,审核通过,,轻微,5
2026003892,路框差,人行道,黄阁路,11.2,众源车,2026-08-21,周五,审核通过,,轻微,13
2026003893,路框差,人行道,布龙路,19.6,两轮车,2026-08-26,周三,审核通过,,轻微,0
2026003894,路框差,人行道,布龙路,19.6,四轮专车,2026-08-10,周一,审核通过,,轻微,1
2026003895,路框差,人行道,新生路,8.2,作业车,2026-08-18,周二,审核通过,,轻微,0
2026003896,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026003897,路框差,人行道,沙荷路,12.4,作业车,2026-08-17,周一,审核通过,,轻微,0
2026003898,路框差,人行道,龙翔大道,15.8,作业车,2026-08-26,周三,审核通过,,严重,0
2026003899,路框差,人行道,龙岗大道,32.6,作业车,2026-08-10,周一,审核通过,,轻微,0
2026003900,路框差,人行道,红棉路,18.2,两轮车,2026-08-25,周二,审核通过,,轻微,1
2026003901,路框差,人行道,龙岗大道,32.6,作业车,2026-08-27,周四,审核通过,,轻微,0
2026003902,路框差,人行道,爱南路,10.4,作业车,2026-09-03,周四,审核通过,,轻微,0
2026003903,路框差,人行道,清林路,9.8,作业车,2026-08-17,周一,审核通过,,轻微,0
2026003904,路框差,人行道,布龙路,19.6,两轮车,2026-08-05,周三,审核通过,,轻微,0
2026003905,路框差,人行道,龙翔大道,15.8,众源车,2026-08-28,周五,驳回,模糊不清,轻微,7
2026003906,路框差,人行道,黄阁路,11.2,作业车,2026-08-27,周四,审核通过,,轻微,0
2026003907,路框差,人行道,爱南路,10.4,四轮专车,2026-08-04,周二,审核通过,,轻微,2
2026003908,路框差,人行道,碧新路,9.1,众源车,2026-08-21,周五,审核通过,,轻微,12
2026003909,路框差,人行道,布龙路,19.6,两轮车,2026-08-13,周四,审核通过,,轻微,1
2026003910,路框差,人行道,爱南路,10.4,两轮车,2026-08-19,周三,审核通过,,轻微,1
2026003911,路框差,人行道,布龙路,19.6,两轮车,2026-08-19,周三,审核通过,,轻微,0
2026003912,路框差,人行道,深惠路,21.5,众源车,2026-08-07,周五,审核通过,,轻微,11
2026003913,路框差,人行道,碧新路,9.1,作业车,2026-08-09,周日,审核通过,,严重,0
2026003914,路框差,人行道,龙翔大道,15.8,四轮专车,2026-09-01,周二,审核通过,,轻微,2
2026003915,路框差,人行道,龙翔大道,15.8,作业车,2026-08-26,周三,审核通过,,轻微,0
2026003916,路框差,人行道,沙荷路,12.4,作业车,2026-08-19,周三,审核通过,,轻微,0
2026003917,路框差,人行道,布龙路,19.6,两轮车,2026-08-13,周四,审核通过,,轻微,1
2026003918,路框差,人行道,布龙路,19.6,四轮专车,2026-08-18,周二,审核通过,,轻微,2
2026003919,路框差,人行道,黄阁路,11.2,四轮专车,2026-09-02,周三,审核通过,,轻微,1
2026003920,路框差,人行道,深惠路,21.5,众源车,2026-08-28,周五,审核通过,,轻微,5
2026003921,路框差,人行道,红棉路,18.2,两轮车,2026-08-13,周四,审核通过,,轻微,1
2026003922,路框差,人行道,碧新路,9.1,两轮车,2026-08-17,周一,审核通过,,轻微,1
2026003923,路框差,人行道,龙翔大道,15.8,众源车,2026-08-14,周五,驳回,模糊不清,轻微,7
2026003924,路框差,人行道,新生路,8.2,作业车,2026-08-06,周四,审核通过,,轻微,0
2026003925,路框差,人行道,红棉路,18.2,作业车,2026-08-31,周一,审核通过,,轻微,0
2026003926,路框差,人行道,布龙路,19.6,作业车,2026-08-24,周一,审核通过,,轻微,0
2026003927,路框差,人行道,布龙路,19.6,两轮车,2026-08-13,周四,审核通过,,轻微,0
2026003928,路框差,人行道,爱南路,10.4,两轮车,2026-08-21,周五,审核通过,,轻微,1
2026003929,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-18,周二,审核通过,,轻微,1
2026003930,路框差,人行道,新生路,8.2,作业车,2026-08-06,周四,审核通过,,轻微,0
2026003931,路框差,人行道,布龙路,19.6,四轮专车,2026-08-27,周四,审核通过,,轻微,2
2026003932,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-06,周四,审核通过,,轻微,0
2026003933,路框差,人行道,布龙路,19.6,众源车,2026-08-14,周五,审核通过,,轻微,11
2026003934,路框差,人行道,龙岗大道,32.6,作业车,2026-08-12,周三,审核通过,,轻微,0
2026003935,路框差,人行道,深惠路,21.5,两轮车,2026-08-16,周日,驳回,AI误报,轻微,1
2026003936,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-18,周二,审核通过,,轻微,2
2026003937,路框差,人行道,沙荷路,12.4,两轮车,2026-08-16,周日,审核通过,,轻微,1
2026003938,路框差,人行道,黄阁路,11.2,作业车,2026-08-10,周一,审核通过,,轻微,0
2026003939,路框差,人行道,深惠路,21.5,作业车,2026-08-05,周三,审核通过,,轻微,0
2026003940,路框差,人行道,龙岗大道,32.6,作业车,2026-08-07,周五,审核通过,,轻微,0
2026003941,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-26,周三,审核通过,,轻微,1
2026003942,路框差,人行道,红棉路,18.2,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026003943,路框差,人行道,红棉路,18.2,两轮车,2026-08-19,周三,审核通过,,轻微,1
2026003944,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-12,周三,审核通过,,轻微,1
2026003945,路框差,人行道,红棉路,18.2,作业车,2026-08-25,周二,审核通过,,轻微,0
2026003946,路框差,人行道,碧新路,9.1,作业车,2026-08-23,周日,审核通过,,轻微,0
2026003947,路框差,人行道,红棉路,18.2,四轮专车,2026-08-08,周六,审核通过,,轻微,1
2026003948,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-24,周一,审核通过,,轻微,1
2026003949,路框差,人行道,碧新路,9.1,两轮车,2026-08-24,周一,审核通过,,轻微,0
2026003950,路框差,人行道,沙荷路,12.4,两轮车,2026-08-12,周三,审核通过,,轻微,0
2026003951,路框差,人行道,深惠路,21.5,众源车,2026-08-07,周五,审核通过,,轻微,9
2026003952,路框差,人行道,植物园路,7.5,众源车,2026-08-28,周五,审核通过,,轻微,12
2026003953,路框差,人行道,植物园路,7.5,两轮车,2026-08-04,周二,审核通过,,轻微,0
2026003954,路框差,人行道,清林路,9.8,作业车,2026-08-23,周日,审核通过,,轻微,0
2026003955,路框差,人行道,龙岗大道,32.6,作业车,2026-08-17,周一,驳回,超过时效,轻微,0
2026003956,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-14,周五,驳回,模糊不清,轻微,1
2026003957,路框差,人行道,鹏达路,6.8,作业车,2026-08-17,周一,审核通过,,轻微,0
2026003958,路框差,人行道,植物园路,7.5,作业车,2026-09-03,周四,审核通过,,轻微,0
2026003959,路框差,人行道,龙岗大道,32.6,作业车,2026-08-15,周六,审核通过,,轻微,0
2026003960,路框差,人行道,龙翔大道,15.8,众源车,2026-08-28,周五,驳回,超过时效,轻微,6
2026003961,路框差,人行道,沙荷路,12.4,作业车,2026-08-30,周日,审核通过,,轻微,0
2026003962,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-21,周五,驳回,超过时效,轻微,2
2026003963,路框差,人行道,清林路,9.8,众源车,2026-08-07,周五,审核通过,,轻微,9
2026003964,路框差,人行道,沙荷路,12.4,两轮车,2026-08-18,周二,驳回,模糊不清,轻微,0
2026003965,路框差,人行道,龙翔大道,15.8,作业车,2026-08-10,周一,审核通过,,轻微,0
2026003966,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-18,周二,审核通过,,轻微,2
2026003967,路框差,人行道,深惠路,21.5,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026003968,路框差,人行道,龙岗大道,32.6,作业车,2026-08-12,周三,审核通过,,轻微,0
2026003969,路框差,人行道,深惠路,21.5,两轮车,2026-08-09,周日,审核通过,,轻微,0
2026003970,路框差,人行道,龙岗大道,32.6,作业车,2026-08-05,周三,审核通过,,轻微,0
2026003971,路框差,人行道,植物园路,7.5,两轮车,2026-08-07,周五,审核通过,,轻微,1
2026003972,路框差,人行道,龙岗大道,32.6,众源车,2026-08-07,周五,审核通过,,轻微,9
2026003973,路框差,人行道,布龙路,19.6,两轮车,2026-08-30,周日,审核通过,,轻微,1
2026003974,路框差,人行道,红棉路,18.2,众源车,2026-08-21,周五,审核通过,,轻微,8
2026003975,路框差,人行道,龙岗大道,32.6,作业车,2026-08-03,周一,审核通过,,轻微,0
2026003976,路框差,人行道,红棉路,18.2,四轮专车,2026-09-03,周四,审核通过,,严重,2
2026003977,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-13,周四,审核通过,,轻微,2
2026003978,路框差,人行道,龙岗大道,32.6,作业车,2026-08-15,周六,审核通过,,轻微,0
2026003979,路框差,人行道,深惠路,21.5,众源车,2026-08-21,周五,驳回,超过时效,轻微,8
2026003980,路框差,人行道,黄阁路,11.2,众源车,2026-08-28,周五,审核通过,,轻微,12
2026003981,路框差,人行道,龙岗大道,32.6,作业车,2026-09-03,周四,审核通过,,轻微,0
2026003982,路框差,人行道,深惠路,21.5,四轮专车,2026-08-25,周二,审核通过,,轻微,2
2026003983,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-05,周三,审核通过,,轻微,0
2026003984,路框差,人行道,红棉路,18.2,作业车,2026-08-16,周日,审核通过,,轻微,0
2026003985,路框差,人行道,龙翔大道,15.8,作业车,2026-08-11,周二,审核通过,,轻微,0
2026003986,路框差,人行道,龙岗大道,32.6,两轮车,2026-09-01,周二,审核通过,,严重,1
2026003987,路框差,人行道,红棉路,18.2,作业车,2026-08-23,周日,审核通过,,轻微,0
2026003988,路框差,人行道,深惠路,21.5,作业车,2026-09-02,周三,审核通过,,轻微,0
2026003989,路框差,人行道,鹏达路,6.8,众源车,2026-08-14,周五,审核通过,,轻微,10
2026003990,路框差,人行道,鹏达路,6.8,两轮车,2026-08-20,周四,审核通过,,轻微,0
2026003991,路框差,人行道,鹏达路,6.8,四轮专车,2026-08-12,周三,审核通过,,轻微,2
2026003992,路框差,人行道,龙翔大道,15.8,作业车,2026-08-27,周四,审核通过,,轻微,0
2026003993,路框差,人行道,龙岗大道,32.6,作业车,2026-08-25,周二,审核通过,,轻微,0
2026003994,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-27,周四,审核通过,,轻微,2
2026003995,路框差,人行道,红棉路,18.2,作业车,2026-09-01,周二,审核通过,,严重,0
2026003996,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-22,周六,审核通过,,轻微,0
2026003997,路框差,人行道,龙岗大道,32.6,众源车,2026-08-21,周五,审核通过,,轻微,8
2026003998,路框差,人行道,深惠路,21.5,作业车,2026-08-16,周日,审核通过,,轻微,0
2026003999,路框差,人行道,沙荷路,12.4,两轮车,2026-08-18,周二,审核通过,,轻微,0
2026004000,路框差,人行道,红棉路,18.2,两轮车,2026-08-07,周五,审核通过,,轻微,1
2026004001,路框差,人行道,清林路,9.8,作业车,2026-08-09,周日,审核通过,,轻微,0
2026004002,路框差,人行道,龙翔大道,15.8,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026004003,路框差,人行道,碧新路,9.1,两轮车,2026-08-08,周六,驳回,AI误报,轻微,0
2026004004,路框差,人行道,红棉路,18.2,作业车,2026-08-05,周三,审核通过,,轻微,0
2026004005,路框差,人行道,布龙路,19.6,作业车,2026-08-28,周五,审核通过,,轻微,0
2026004006,路框差,人行道,红棉路,18.2,两轮车,2026-08-07,周五,审核通过,,轻微,0
2026004007,路框差,人行道,深惠路,21.5,两轮车,2026-08-17,周一,审核通过,,轻微,1
2026004008,路框差,人行道,龙岗大道,32.6,众源车,2026-08-28,周五,审核通过,,轻微,9
2026004009,路框差,人行道,龙岗大道,32.6,四轮专车,2026-08-16,周日,审核通过,,轻微,2
2026004010,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-15,周六,审核通过,,轻微,0
2026004011,路框差,人行道,沙荷路,12.4,众源车,2026-08-28,周五,驳回,超过时效,轻微,7
2026004012,路框差,人行道,红棉路,18.2,四轮专车,2026-08-11,周二,审核通过,,轻微,1
2026004013,路框差,人行道,植物园路,7.5,作业车,2026-08-23,周日,审核通过,,轻微,0
2026004014,路框差,人行道,龙岗大道,32.6,作业车,2026-08-05,周三,审核通过,,轻微,0
2026004015,路框差,人行道,布龙路,19.6,作业车,2026-08-11,周二,审核通过,,轻微,0
2026004016,路框差,人行道,布龙路,19.6,作业车,2026-08-31,周一,审核通过,,轻微,0
2026004017,路框差,人行道,红棉路,18.2,两轮车,2026-08-23,周日,驳回,框选不规范,轻微,1
2026004018,路框差,人行道,深惠路,21.5,作业车,2026-08-19,周三,审核通过,,轻微,0
2026004019,路框差,人行道,龙岗大道,32.6,众源车,2026-08-07,周五,审核通过,,轻微,8
2026004020,路框差,人行道,清林路,9.8,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026004021,路框差,人行道,红棉路,18.2,作业车,2026-08-04,周二,审核通过,,轻微,0
2026004022,路框差,人行道,红棉路,18.2,众源车,2026-08-21,周五,审核通过,,轻微,7
2026004023,路框差,人行道,沙荷路,12.4,两轮车,2026-08-18,周二,审核通过,,轻微,0
2026004024,路框差,人行道,新生路,8.2,作业车,2026-08-18,周二,审核通过,,轻微,0
2026004025,路框差,人行道,吉祥路,8.6,作业车,2026-08-10,周一,审核通过,,轻微,0
2026004026,路框差,人行道,植物园路,7.5,两轮车,2026-08-15,周六,审核通过,,轻微,0
2026004027,路框差,人行道,黄阁路,11.2,两轮车,2026-08-20,周四,驳回,模糊不清,轻微,1
2026004028,路框差,人行道,黄阁路,11.2,两轮车,2026-08-11,周二,审核通过,,轻微,0
2026004029,路框差,人行道,深惠路,21.5,四轮专车,2026-08-14,周五,审核通过,,轻微,2
2026004030,路框差,人行道,新生路,8.2,两轮车,2026-09-03,周四,审核通过,,轻微,0
2026004031,路框差,人行道,布龙路,19.6,四轮专车,2026-08-29,周六,审核通过,,轻微,2
2026004032,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-22,周六,审核通过,,轻微,1
2026004033,路框差,人行道,黄阁路,11.2,两轮车,2026-08-12,周三,审核通过,,轻微,0
2026004034,路框差,人行道,布龙路,19.6,作业车,2026-08-29,周六,审核通过,,轻微,0
2026004035,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-30,周日,审核通过,,轻微,1
2026004036,路框差,人行道,龙翔大道,15.8,作业车,2026-09-03,周四,审核通过,,轻微,0
2026004037,路框差,人行道,沙荷路,12.4,两轮车,2026-08-24,周一,审核通过,,轻微,1
2026004038,路框差,人行道,碧新路,9.1,作业车,2026-08-10,周一,审核通过,,轻微,0
2026004039,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-15,周六,审核通过,,轻微,0
2026004040,路框差,人行道,爱南路,10.4,作业车,2026-09-01,周二,审核通过,,轻微,0
2026004041,路框差,人行道,深惠路,21.5,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026004042,路框差,人行道,吉祥路,8.6,作业车,2026-08-28,周五,审核通过,,轻微,0
2026004043,路框差,人行道,龙岗大道,32.6,众源车,2026-08-14,周五,驳回,超过时效,轻微,7
2026004044,路框差,人行道,新生路,8.2,作业车,2026-08-17,周一,审核通过,,轻微,0
2026004045,路框差,人行道,深惠路,21.5,两轮车,2026-08-08,周六,审核通过,,轻微,1
2026004046,路框差,人行道,沙荷路,12.4,两轮车,2026-09-02,周三,驳回,框选不规范,轻微,1
2026004047,路框差,人行道,红棉路,18.2,作业车,2026-08-09,周日,审核通过,,轻微,0
2026004048,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-21,周五,审核通过,,轻微,1
2026004049,路框差,人行道,龙翔大道,15.8,众源车,2026-08-21,周五,驳回,超过时效,轻微,5
2026004050,路框差,人行道,清林路,9.8,四轮专车,2026-08-15,周六,审核通过,,轻微,1
2026004051,路框差,人行道,植物园路,7.5,众源车,2026-08-21,周五,审核通过,,轻微,12
2026004052,路框差,人行道,黄阁路,11.2,作业车,2026-08-08,周六,审核通过,,轻微,0
2026004053,路框差,人行道,布龙路,19.6,众源车,2026-08-28,周五,驳回,超过时效,轻微,10
2026004054,路框差,人行道,深惠路,21.5,四轮专车,2026-08-26,周三,审核通过,,轻微,2
2026004055,路框差,人行道,爱南路,10.4,四轮专车,2026-08-10,周一,审核通过,,轻微,2
2026004056,路框差,人行道,碧新路,9.1,四轮专车,2026-08-27,周四,审核通过,,轻微,1
2026004057,路框差,人行道,沙荷路,12.4,两轮车,2026-08-24,周一,审核通过,,轻微,0
2026004058,路框差,人行道,植物园路,7.5,两轮车,2026-08-09,周日,审核通过,,轻微,0
2026004059,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-15,周六,审核通过,,轻微,0
2026004060,路框差,人行道,爱南路,10.4,作业车,2026-08-14,周五,审核通过,,轻微,0
2026004061,路框差,人行道,鹏达路,6.8,两轮车,2026-08-20,周四,审核通过,,轻微,0
2026004062,路框差,人行道,清林路,9.8,作业车,2026-08-04,周二,审核通过,,轻微,0
2026004063,路框差,人行道,龙岗大道,32.6,两轮车,2026-09-02,周三,审核通过,,轻微,0
2026004064,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-20,周四,驳回,模糊不清,轻微,0
2026004065,路框差,人行道,龙岗大道,32.6,作业车,2026-08-24,周一,审核通过,,轻微,0
2026004066,路框差,人行道,吉祥路,8.6,作业车,2026-08-22,周六,审核通过,,轻微,0
2026004067,路框差,人行道,沙荷路,12.4,作业车,2026-08-15,周六,审核通过,,轻微,0
2026004068,路框差,人行道,清林路,9.8,两轮车,2026-08-30,周日,驳回,模糊不清,严重,1
2026004069,路框差,人行道,新生路,8.2,作业车,2026-08-13,周四,审核通过,,严重,0
2026004070,路框差,人行道,红棉路,18.2,作业车,2026-08-03,周一,审核通过,,轻微,0
2026004071,路框差,人行道,龙翔大道,15.8,作业车,2026-08-20,周四,审核通过,,轻微,0
2026004072,路框差,人行道,黄阁路,11.2,作业车,2026-08-06,周四,审核通过,,轻微,0
2026004073,路框差,人行道,龙翔大道,15.8,作业车,2026-08-29,周六,审核通过,,轻微,0
2026004074,路框差,人行道,红棉路,18.2,作业车,2026-08-04,周二,审核通过,,轻微,0
2026004075,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-09,周日,审核通过,,轻微,1
2026004076,路框差,人行道,龙翔大道,15.8,两轮车,2026-09-02,周三,驳回,模糊不清,轻微,0
2026004077,路框差,人行道,黄阁路,11.2,众源车,2026-08-14,周五,审核通过,,轻微,11
2026004078,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-19,周三,审核通过,,轻微,0
2026004079,路框差,人行道,龙岗大道,32.6,作业车,2026-08-30,周日,审核通过,,轻微,0
2026004080,路框差,人行道,深惠路,21.5,作业车,2026-08-10,周一,审核通过,,轻微,0
2026004081,路框差,人行道,龙翔大道,15.8,两轮车,2026-08-12,周三,审核通过,,轻微,1
2026004082,路框差,人行道,沙荷路,12.4,作业车,2026-08-03,周一,审核通过,,轻微,0
2026004083,路框差,人行道,清林路,9.8,作业车,2026-08-28,周五,审核通过,,轻微,0
2026004084,路框差,人行道,沙荷路,12.4,两轮车,2026-08-06,周四,审核通过,,轻微,1
2026004085,路框差,人行道,布龙路,19.6,作业车,2026-09-03,周四,审核通过,,轻微,0
2026004086,路框差,人行道,新生路,8.2,两轮车,2026-08-26,周三,审核通过,,轻微,0
2026004087,路框差,人行道,布龙路,19.6,两轮车,2026-08-13,周四,审核通过,,轻微,1
2026004088,路框差,人行道,坂雪岗大道,14.2,四轮专车,2026-08-18,周二,审核通过,,严重,1
2026004089,路框差,人行道,龙岗大道,32.6,作业车,2026-08-19,周三,审核通过,,轻微,0
2026004090,路框差,人行道,红棉路,18.2,作业车,2026-08-26,周三,审核通过,,轻微,0
2026004091,路框差,人行道,龙岗大道,32.6,两轮车,2026-08-14,周五,审核通过,,轻微,1
2026004092,路框差,人行道,吉祥路,8.6,作业车,2026-08-11,周二,审核通过,,轻微,0
2026004093,路框差,人行道,爱南路,10.4,作业车,2026-08-07,周五,驳回,AI误报,轻微,0
2026004094,路框差,人行道,红棉路,18.2,两轮车,2026-08-17,周一,审核通过,,轻微,1
2026004095,路框差,人行道,红棉路,18.2,作业车,2026-08-18,周二,审核通过,,轻微,0
2026004096,路框差,人行道,沙荷路,12.4,作业车,2026-08-22,周六,审核通过,,轻微,0
2026004097,路框差,人行道,坂雪岗大道,14.2,两轮车,2026-08-29,周六,审核通过,,轻微,1
2026004098,路框差,人行道,坂雪岗大道,14.2,四轮专车,2026-08-09,周日,审核通过,,轻微,1
2026004099,路框差,人行道,黄阁路,11.2,作业车,2026-08-10,周一,审核通过,,轻微,0
2026004100,路框差,人行道,新生路,8.2,两轮车,2026-08-12,周三,审核通过,,轻微,0
2026004101,路框差,人行道,沙荷路,12.4,众源车,2026-08-14,周五,审核通过,,轻微,13
2026004102,路框差,人行道,黄阁路,11.2,作业车,2026-08-07,周五,审核通过,,轻微,0
2026004103,路框差,人行道,布龙路,19.6,两轮车,2026-08-28,周五,审核通过,,轻微,0
2026004104,路框差,人行道,沙荷路,12.4,作业车,2026-08-25,周二,审核通过,,轻微,0
2026004105,路框差,人行道,新生路,8.2,众源车,2026-08-07,周五,审核通过,,轻微,6
2026004106,路框差,人行道,龙岗大道,32.6,作业车,2026-08-21,周五,审核通过,,轻微,0
2026004107,路框差,人行道,清林路,9.8,作业车,2026-08-29,周六,审核通过,,轻微,0
2026004108,路框差,人行道,清林路,9.8,众源车,2026-08-21,周五,审核通过,,严重,11
2026004109,路框差,人行道,新生路,8.2,两轮车,2026-08-31,周一,审核通过,,严重,1
2026004110,路框差,人行道,布龙路,19.6,作业车,2026-08-21,周五,审核通过,,轻微,0
2026004111,路框差,人行道,沙荷路,12.4,四轮专车,2026-08-04,周二,审核通过,,轻微,1
2026004112,路框差,人行道,爱南路,10.4,四轮专车,2026-08-08,周六,审核通过,,轻微,2
2026004113,路框差,人行道,吉祥路,8.6,两轮车,2026-08-19,周三,审核通过,,轻微,1
2026004114,路框差,人行道,深惠路,21.5,作业车,2026-08-29,周六,审核通过,,轻微,0
2026004115,路框差,人行道,吉祥路,8.6,作业车,2026-08-07,周五,审核通过,,轻微,0
2026004116,路框差,人行道,沙荷路,12.4,众源车,2026-08-14,周五,审核通过,,轻微,12
2026004117,路框差,人行道,坂雪岗大道,14.2,作业车,2026-08-31,周一,审核通过,,轻微,0
2026004118,路框差,人行道,碧新路,9.1,作业车,2026-08-08,周六,审核通过,,轻微,0
2026004119,路框差,人行道,沙荷路,12.4,作业车,2026-08-20,周四,审核通过,,轻微,0
2026004120,路框差,人行道,深惠路,21.5,作业车,2026-08-31,周一,审核通过,,轻微,0
2026004121,路框差,人行道,植物园路,7.5,两轮车,2026-08-12,周三,审核通过,,轻微,1
2026004122,路框差,人行道,吉祥路,8.6,作业车,2026-08-15,周六,审核通过,,轻微,0
2026004123,路框差,人行道,碧新路,9.1,作业车,2026-08-17,周一,审核通过,,轻微,0
2026004124,路框差,人行道,龙翔大道,15.8,作业车,2026-08-17,周一,审核通过,,轻微,0
2026004125,路框差,人行道,鹏达路,6.8,作业车,2026-08-13,周四,审核通过,,轻微,0
